,id,name,lat,lon,bikes,fs_parks,yelp_parks
38,19997314e5dc85c591c39255f1081992,Havelock St / Dewson St,43.6554793,-79.4302462,3,35,10
39,e28bec2cacb249601ba4e3da8ce10aa3,St Clair West Subway Station - Heath Entrance,43.686352,-79.415894,20,27,10
40,e15764d43dae2febba437044f0b41c0d,Queen St W / Shaw St,43.6442457,-79.4161044,4,48,15
41,02d90c8ede19da66083e0d0e14d17258,York University Station (North),43.7741,-79.5005,11,3,0
42,70f4c2f125f887140a39865c643b83e1,Spadina Rd / St.Clair Ave West,43.683979,-79.410657,14,30,11
43,a73d255f1af70c61f91b4bbf216054ec,Spadina Ave / Adelaide St W,43.6472019,-79.3953394,2,50,37
44,d6bc7298aa11006015119e2e237ce83d,Cherry St / Mill St,43.6513927,-79.3579466,9,37,26
45,a385b32a5f6b3de23ce3def7f59ecbc1,Jarvis St / Maitland Pl,43.6647688,-79.3772602,9,50,37
46,d21421de2283d1ef48895cf1810b0200,Temperance St / Bay St,43.6506,-79.381285,2,50,41
47,fca601c1041c34a9c42af38d71e7403a,Cherry Beach Sports Fields (55 Unwin Ave),43.6408346,-79.3429074,8,6,4
48,89a0071a8f7f69a70263dd5c0d9d64f5,Randolph Ave / Perth Ave,43.6585504,-79.4497659,7,37,6
49,0ec6c1acd2e8975a5a2d5ddfe6028115,Wolseley St / Augusta Ave,43.6484201,-79.4005192,1,50,33
50,a3246dc710b72e282aabc15520392d98,Lumsden Ave / Cedarvale Ave,43.693187,-79.314283,11,24,6
51,e8fa9e1f75a6a3e6795f420149665538,Niagara St / Portland St,43.6425791,-79.4001173,1,50,32
52,4c9eb7bf1d6f6464b60956afb4cb7bc6,Church St / The Esplanade,43.6469251,-79.3733192,2,50,35
53,32cbcb81d2d04a16ed2d1d2ed35220d4,King St W / Portland St,43.644395,-79.4006543,3,50,33
54,eec8016afd7a2c9574726724fc5bbab9,Widmer St / King St W,43.6463574,-79.391206,5,50,37
55,f01e7413a6af4607ca80257160d89ae6,Wellesley St E / Parliament St,43.6682342,-79.3702641,6,50,25
56,90fadd5570633a9503c556d49fcd59b8,Yonge St / Macpherson Ave,43.6791876,-79.390719,15,50,19
57,2e3ac17daffcf4eac85216832f31a3b5,Davenport Rd / Bedford Rd,43.674446,-79.398331,5,50,28
58,df51480ffd94a7b3412a6d3cc7706585,265 Armadale Ave,43.6501644,-79.4829691,11,21,6
59,b87051aeba987c7cf84dd59ab88c67bd,800 Fleet St,43.636804,-79.408832,0,50,17
60,15b272ca422dbbafeb002f3a84d15436,St. Joseph St / Bay St - SMART,43.6658804,-79.3876101,11,50,34
61,9144e4fe1b004cd29d1f4a056a3542fc,Victoria Park Ave / Kingston Rd,43.68035,-79.28357,8,10,2
62,328543a3291fd54d24971108f96bb053,Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,8,50,37
63,6140f3635573c8910f854df84e633837,Highview Ave / Kennedy Rd,43.70241858,-79.25631671,3,14,2
64,8e671c6621816f2d0003b23c0bda5e08,Kingston Rd / Warden Ave,43.68824136,-79.27046628,12,7,1
65,88ede41a08aa08dfee94f811a9834e1b,Birchcliff Ave / Kingston Rd,43.691688,-79.265027,7,9,1
66,3db3e716f02f4035f98fc1f07a0fecd9,Kingston Rd / Glen Everest Rd,43.69749005,-79.25655146,9,12,2
67,a4e9775f52cd109d87faa6d5de6a395a,Birchmount Rd / Kingston Rd,43.69401298,-79.26257205,2,10,1
